Loading repository data...
Reading installed packages...
S | Repository         | Name                              | Current Version       | Available Version         | Arch  
--+--------------------+-----------------------------------+-----------------------+---------------------------+-------
v | SLES11-SP1-Updates | ConsoleKit                        | 0.2.10-64.13.6        | 0.2.10-64.65.1            | x86_64
v | SLES11-SP1-Updates | ConsoleKit-32bit                  | 0.2.10-64.13.6        | 0.2.10-64.65.1            | x86_64
v | SLES11-SP1-Updates | ConsoleKit-x11                    | 0.2.10-64.13.6        | 0.2.10-64.65.1            | x86_64
v | SLES11-SP1-Updates | Mesa                              | 7.7-0.4.41            | 7.7-5.10.1                | x86_64
v | SLES11-SP1-Updates | Mesa-32bit                        | 7.7-0.4.41            | 7.7-5.10.1                | x86_64
v | SLES11-SP1-Updates | MozillaFirefox                    | 3.6.16-0.2.1          | 10.0.2-0.4.1              | x86_64
v | SLES11-SP1-Updates | MozillaFirefox-branding-SLED      | 3.5-1.2.4             | 7-0.6.7.7                 | x86_64
v | SLES11-SP1-Updates | MozillaFirefox-translations       | 3.6.16-0.2.1          | 10.0.2-0.4.1              | x86_64
v | SLES11-SP1-Updates | NetworkManager-glib               | 0.7.0.r4359-15.25.1   | 0.7.1_git20090811-3.9.9.5 | x86_64
v | SLES11-SP1-Updates | PackageKit                        | 0.3.14-2.12.105       | 0.3.14-2.14.5.1           | x86_64
v | SLES11-SP1-Updates | PackageKit-lang                   | 0.3.14-2.12.105       | 0.3.14-2.14.5.1           | x86_64
v | SLES11-SP1-Updates | SuSEfirewall2                     | 3.6_SVNr208-2.1       | 3.6_SVNr208-2.5.1         | noarch
v | SLES11-SP1-Updates | a2ps                              | 4.13-1326.33          | 4.13-1326.35.1            | x86_64
v | SLES11-SP1-Updates | acpid                             | 1.0.6-91.6            | 1.0.6-91.16.1             | x86_64
v | SLES11-SP1-Updates | alsa                              | 1.0.18-16.9.29        | 1.0.18-16.24.1            | x86_64
v | SLES11-SP1-Updates | alsa-plugins                      | 1.0.18-7.5            | 1.0.18-7.12.23            | x86_64
v | SLES11-SP1-Updates | alsa-plugins-pulse                | 1.0.18-7.5            | 1.0.18-7.12.23            | x86_64
v | SLES11-SP1-Updates | apparmor-parser                   | 2.3.1-8.14.9          | 2.3.1-8.18.7              | x86_64
v | SLES11-SP1-Updates | apparmor-profiles                 | 2.3-48.3              | 2.3-48.7.1                | noarch
v | SLES11-SP1-Updates | apparmor-utils                    | 2.3.1-9.6.3           | 2.3.1-9.8.5               | noarch
v | SLES11-SP1-Updates | at                                | 3.1.8-1069.15.53      | 3.1.8-1069.18.2           | x86_64
v | SLES11-SP1-Updates | audit                             | 1.7.7-5.16            | 1.7.7-5.18.4.1            | x86_64
v | SLES11-SP1-Updates | audit-libs                        | 1.7.7-5.16            | 1.7.7-5.18.4.1            | x86_64
v | SLES11-SP1-Updates | audit-libs-32bit                  | 1.7.7-5.16            | 1.7.7-5.18.4.1            | x86_64
v | SLES11-SP1-Updates | bind-libs                         | 9.5.0P2-20.7.1        | 9.6ESVR5P1-0.2.4.1        | x86_64
v | SLES11-SP1-Updates | bind-libs-32bit                   | 9.5.0P2-20.7.1        | 9.6ESVR5P1-0.2.4.1        | x86_64
v | SLES11-SP1-Updates | bind-utils                        | 9.5.0P2-20.7.1        | 9.6ESVR5P1-0.2.4.1        | x86_64
v | SLES11-SP1-Updates | cifs-mount                        | 3.4.3-1.19.1          | 3.4.3-1.34.1              | x86_64
v | SLES11-SP1-Updates | coreutils                         | 6.12-32.17            | 6.12-32.35.1              | x86_64
v | SLES11-SP1-Updates | coreutils-lang                    | 6.12-32.17            | 6.12-32.35.1              | x86_64
v | SLES11-SP1-Updates | cpio                              | 2.9-75.29.1           | 2.9-75.76.1               | x86_64
v | SLES11-SP1-Updates | cpio-lang                         | 2.9-75.29.1           | 2.9-75.76.1               | x86_64
v | SLES11-SP1-Updates | cron                              | 4.1-194.24.4          | 4.1-194.199.1             | x86_64
v | SLES11-SP1-Updates | cups-client                       | 1.3.9-8.37.1          | 1.3.9-8.44.1              | x86_64
v | SLES11-SP1-Updates | cups-libs                         | 1.3.9-8.37.1          | 1.3.9-8.44.1              | x86_64
v | SLES11-SP1-Updates | cups-libs-32bit                   | 1.3.9-8.37.1          | 1.3.9-8.44.1              | x86_64
v | SLES11-SP1-Updates | curl                              | 7.19.0-11.25.1        | 7.19.7-1.18.1             | x86_64
v | SLES11-SP1-Updates | cvs                               | 1.12.12-144.21        | 1.12.12-144.23.5.1        | x86_64
v | SLES11-SP1-Updates | dbus-1                            | 1.2.10-3.15.1         | 1.2.10-3.23.1             | x86_64
v | SLES11-SP1-Updates | dbus-1-32bit                      | 1.2.10-3.15.1         | 1.2.10-3.23.1             | x86_64
v | SLES11-SP1-Updates | dbus-1-glib                       | 0.76-34.18.5          | 0.76-34.22.1              | x86_64
v | SLES11-SP1-Updates | dbus-1-glib-32bit                 | 0.76-34.18.5          | 0.76-34.22.1              | x86_64
v | SLES11-SP1-Updates | dbus-1-x11                        | 1.2.10-3.11.33        | 1.2.10-3.23.1             | x86_64
v | SLES11-SP1-Updates | dejavu                            | 2.26-1.17             | 2.32-4.2.1                | noarch
v | SLES11-SP1-Updates | device-mapper                     | 1.02.27-8.18.1        | 1.02.27-8.22.2            | x86_64
v | SLES11-SP1-Updates | device-mapper-32bit               | 1.02.27-8.18.1        | 1.02.27-8.22.2            | x86_64
v | SLES11-SP1-Updates | dhcpcd                            | 3.2.3-44.20.1         | 3.2.3-44.28.1             | x86_64
v | SLES11-SP1-Updates | dmraid                            | 1.0.0.rc16-0.6.18     | 1.0.0.rc16-0.12.1         | x86_64
v | SLES11-SP1-Updates | eject                             | 2.1.0-115.17          | 2.1.0-115.19.2.1          | x86_64
v | SLES11-SP1-Updates | emacs                             | 22.3-4.32.4           | 22.3-4.36.1               | x86_64
v | SLES11-SP1-Updates | emacs-info                        | 22.3-4.32.4           | 22.3-4.36.1               | x86_64
v | SLES11-SP1-Updates | emacs-x11                         | 22.3-4.32.4           | 22.3-4.36.1               | x86_64
v | SLES11-SP1-Updates | evolution-data-server             | 2.28.2-0.16.1         | 2.28.2-0.22.1             | x86_64
v | SLES11-SP1-Updates | evolution-data-server-32bit       | 2.28.2-0.16.1         | 2.28.2-0.22.1             | x86_64
v | SLES11-SP1-Updates | evolution-data-server-lang        | 2.28.2-0.16.1         | 2.28.2-0.22.1             | x86_64
v | SLES11-SP1-Updates | file-32bit                        | 4.24-43.17            | 4.24-43.19.1              | x86_64
v | SLES11-SP1-Updates | findutils                         | 4.4.0-38.24.11        | 4.4.0-38.26.1             | x86_64
v | SLES11-SP1-Updates | findutils-locate                  | 4.4.0-38.24.11        | 4.4.0-38.26.1             | x86_64
v | SLES11-SP1-Updates | freetype2                         | 2.3.7-25.24.1         | 2.3.7-25.28.1             | x86_64
v | SLES11-SP1-Updates | freetype2-32bit                   | 2.3.7-25.24.1         | 2.3.7-25.28.1             | x86_64
v | SLES11-SP1-Updates | gawk                              | 3.1.6-26.1.35         | 3.1.8-2.6.1               | x86_64
v | SLES11-SP1-Updates | gdb                               | 7.0-0.4.16            | 7.3-0.6.1                 | x86_64
v | SLES11-SP1-Updates | gdm                               | 2.24.0-24.28.1        | 2.24.0-24.77.1            | x86_64
v | SLES11-SP1-Updates | gdm-branding-upstream             | 2.24.0-24.28.1        | 2.24.0-24.77.1            | x86_64
v | SLES11-SP1-Updates | gdm-lang                          | 2.24.0-24.28.1        | 2.24.0-24.77.1            | x86_64
v | SLES11-SP1-Updates | glibc                             | 2.11.1-0.20.1         | 2.11.1-0.34.1             | x86_64
v | SLES11-SP1-Updates | glibc-32bit                       | 2.11.1-0.20.1         | 2.11.1-0.34.1             | x86_64
v | SLES11-SP1-Updates | glibc-devel                       | 2.11.1-0.20.1         | 2.11.1-0.34.1             | x86_64
v | SLES11-SP1-Updates | glibc-devel-32bit                 | 2.11.1-0.20.1         | 2.11.1-0.34.1             | x86_64
